token_	Corpus	Observations	p_value	Obs/Exp
	Emma	47	0.00427365382812	1.95833333333
lord	Sense and Sensibility	28	0.0137600126281	2.15384615385
tired	Northanger Abbey	17	0.0319471239626	2.42857142857
here	Northanger Abbey	88	0.0203854819805	1.41935483871
therefore	Sense and Sensibility	93	0.00205084395535	1.63157894737
want	Mansfield Park	101	0.0201544052941	1.38356164384
how	Emma	371	0.0145262589805	1.18530351438
wind	Northanger Abbey	11	0.0286809927218	3.66666666667
bates	Emma	126	2.35649840444e-16	4.5
moment	Northanger Abbey	76	0.0400210879247	1.38181818182
engagement	Sense and Sensibility	63	0.000253922900876	2.1724137931
master	Pride and Prejudice	25	0.00451824464908	2.77777777778
feeling	Mansfield Park	74	0.0463123947961	1.37037037037
exploring	Emma	11	0.0286838581818	3.66666666667
doors	Northanger Abbey	20	0.00957351190504	2.85714285714
letter	Pride and Prejudice	115	0.002260755269	1.53333333333
grove	Emma	31	0.000339521952249	3.44444444444
cousins	Mansfield Park	61	0.000186669981433	2.25925925926
coles	Emma	29	5.83739904732e-05	4.83333333333
best	Mansfield Park	102	0.00890190368719	1.45714285714
men	Northanger Abbey	38	0.012359634956	1.9
much	Emma	486	0.0343619120912	1.13023255814
child	Sense and Sensibility	39	0.0384435317012	1.625
any	Emma	655	3.28674378073e-09	1.42082429501
any	Sense and Sensibility	390	0.0480695454645	1.13372093023
campbells	Emma	34	3.43500309019e-05	4.25
exertion	Sense and Sensibility	21	0.0213805387481	2.33333333333
ease	Northanger Abbey	23	0.0287927152523	2.09090909091
had	Persuasion	1187	1.43043104778e-14	1.40307328605
beloved	Northanger Abbey	13	0.0481166046308	2.6
has	Pride and Prejudice	221	0.0326459099722	1.20765027322
chuse	Emma	24	0.0204743473426	2.18181818182
right	Mansfield Park	97	0.0386709854665	1.32876712329
old	Emma	83	0.0398447869467	1.3606557377
crowd	Northanger Abbey	11	0.0286809927218	3.66666666667
crown	Emma	26	0.000659001012382	3.71428571429
sure	Emma	204	0.0238155866283	1.23636363636
for	Sense and Sensibility	1260	0.000463562790474	1.14649681529
jane	Emma	281	4.38025620289e-16	2.32231404959
jane	Pride and Prejudice	263	1.55066893155e-20	2.85869565217
