word,frequency
the,5204
to,5186
and,4878
of,4292
i,3191
a,3126
it,2529
her,2483
was,2400
she,2364
in,2175
not,2151
you,1999
be,1975
he,1811
that,1800
had,1626
but,1441
as,1437
for,1347
have,1321
is,1243
with,1218
very,1212
mr,1154
his,1150
at,1032
so,972
all,846
could,837
would,820
emma,785
him,771
been,760
no,742
my,732
mrs,701
on,691
any,655
do,637
miss,602
were,601
me,583
must,571
by,568
will,559
which,556
there,551
from,546
they,541
what,536
this,526
or,494
such,489
much,486
if,485
said,484
more,469
an,463
are,455
one,443
them,436
every,435
than,416
harriet,415
am,414
thing,398
weston,388
well,384
think,384
how,371
should,371
your,367
when,364
little,361
being,358
never,358
we,357
knightley,356
did,353
only,341
know,337
might,326
elton,320
good,314
now,313
say,312
their,304
own,303
who,295
can,283
quite,282
jane,281
herself,279
time,278
woodhouse,277
great,265
some,265
too,254
nothing,254
has,252
before,250
most,249
about,249
dear,241
always,238
thought,226
soon,224
may,223
see,222
other,221
shall,219
again,219
man,218
without,214
fairfax,210
first,207
out,207
sure,204
indeed,202
frank,200
made,199
like,197
churchill,193
ever,193
oh,193
young,192
up,186
two,178
though,177
better,173
then,171
come,171
just,169
friend,166
father,166
body,164
into,163
after,161
upon,159
give,159
hartfield,159
here,155
way,155
day,155
really,153
make,152
us,148
having,147
himself,146
rather,146
long,144
hope,143
cannot,142
done,142
seemed,141
away,138
many,138
poor,136
wish,136
while,133
go,132
even,132
over,131
however,131
does,130
home,130
enough,129
mind,128
bates,126
highbury,125
yes,125
happy,124
woman,123
its,122
going,120
heard,120
take,119
last,119
came,119
look,119
love,117
still,115
pleasure,115
another,113
felt,113
something,113
sort,112
moment,111
yet,109
letter,108
saw,108
morning,107
few,106
myself,103
till,102
same,102
believe,102
feelings,102
certainly,101
half,101
idea,100
hear,100
speak,99
our,99
perhaps,99
doubt,98
off,98
subject,97
evening,95
ought,95
party,95
those,95
feel,95
word,94
friends,93
people,92
found,92
deal,92
house,92
right,91
randalls,91
often,91
harriets,91
looked,91
want,90
let,90
place,90
eltons,89
coming,89
almost,89
present,89
knew,88
john,88
both,86
where,86
visit,85
least,85
possible,84
best,83
old,83
room,83
once,83
world,81
suppose,81
together,81
cried,81
life,80
gone,80
else,80
replied,79
told,79
emmas,79
smith,78
tell,78
given,77
kind,77
family,76
obliged,76
wanted,76
happiness,76
manner,75
find,75
perry,74
whole,73
between,73
seen,73
whom,73
martin,72
hour,72
nobody,72
opinion,71
able,71
part,71
hardly,71
immediately,70
down,70
far,70
short,70
side,69
understand,69
less,68
left,68
lady,67
perfectly,67
carriage,67
get,67
true,66
these,66
towards,66
pretty,66
three,66
talked,66
extremely,66
wife,66
sir,66
heart,65
since,65
ready,65
answer,65
general,65
comfort,65
back,65
afraid,65
situation,64
spirits,64
marry,64
nor,64
began,64
either,64
whether,64
things,63
set,63
person,63
next,63
acquaintance,63
under,63
looking,62
therefore,62
put,62
course,61
change,61
sorry,61
through,61
thinking,60
bad,60
talk,60
children,60
others,60
dare,59
mean,59
account,59
assure,59
longer,59
westons,59
attention,59
superior,59
taken,58
exactly,58
known,58
years,57
equal,57
feeling,56
leave,56
isabella,56
sense,56
yourself,56
state,56
days,56
chapter,56
name,56
return,56
degree,56
imagine,55
business,55
passed,55
why,55
walk,55
brought,54
cold,54
beyond,54
minutes,54
mother,54
gave,54
manners,53
talking,53
because,53
natural,52
walked,52
aunt,52
hand,52
read,52
bear,52
saying,51
satisfied,51
care,51
directly,51
usual,51
seeing,51
eyes,51
among,51
point,51
rest,50
used,50
agreeable,50
making,50
affection,50
glad,50
appeared,49
wonder,49
donwell,49
words,49
cole,49
society,48
means,48
remember,48
wished,48
attachment,48
ah,48
end,48
allow,47
ill,47
voice,47
each,47
took,47
brother,47
pleased,47
believed,46
full,46
daughter,46
likely,46
went,46
speaking,46
against,46
interest,46
near,46
girl,46
particularly,46
giving,46
married,46
walking,45
ladies,45
air,45
churchills,45
london,45
already,45
smile,44
door,44
doing,44
strong,44
stay,44
farther,44
respect,44
called,44
meant,43
ask,43
character,43
hoped,43
campbell,43
regard,43
spoke,42
real,42
need,42
call,42
different,42
fine,42
proper,42
dinner,42
conversation,42
power,41
delightful,41
impossible,41
early,41
reason,41
fathers,41
pleasant,41
particular,41
afterwards,41
taylor,41
son,40
allowed,40
consider,40
thank,40
woodhouses,40
beginning,40
themselves,40
kindness,40
expected,40
knightleys,40
weather,40
wrong,39
object,39
returned,39
creature,39
sometimes,39
letters,39
night,39
entirely,39
fortune,39
help,39
whose,39
thoughts,39
round,39
meeting,39
dixon,39
settled,39
fond,39
question,39
asked,38
open,38
engaged,38
handsome,38
continued,38
bring,38
five,38
colonel,38
neither,38
met,38
head,38
use,38
sit,38
nature,37
sat,37
truth,37
seem,37
sitting,37
surprize,37
fancy,37
convinced,37
added,37
determined,36
received,36
appear,36
probably,36
necessary,36
new,36
amiable,36
forward,36
got,36
news,36
enscombe,36
child,35
marriage,35
temper,35
supposed,35
common,35
please,35
taste,35
health,35
campbells,34
large,34
company,34
perfect,34
pain,34
circumstance,34
comfortable,34
excellent,34
obliging,34
goddards,34
wanting,33
sent,33
evil,33
keep,33
acquainted,33
absolutely,33
papa,33
dancing,33
men,32
pass,32
ago,32
face,32
surprized,32
robert,32
within,32
charming,32
meet,32
hearing,32
except,32
ten,32
meaning,32
circumstances,31
engagement,31
grove,31
case,31
small,31
smiling,31
anxious,31
compliment,31
months,31
begin,31
husband,31
maple,31
danger,31
persuaded,31
matter,31
interesting,31
resolution,31
difference,31
praise,31
serious,31
says,31
fairfaxs,31
fair,30
spoken,30
hours,30
worth,30
delighted,30
greater,30
appearance,30
worse,30
difficulty,30
knows,30
second,29
beauty,29
coles,29
turned,29
followed,29
attentions,29
ball,29
gratitude,29
excuse,29
actually,29
bodys,29
merely,29
eye,29
none,29
times,29
greatest,29
looks,29
understanding,28
alone,28
easy,28
whenever,28
cheerful,28
shew,28
warm,28
curiosity,28
forget,28
yesterday,28
occasion,28
judgment,28
resolved,28
turn,28
satisfaction,28
week,28
hers,27
to-morrow,27
honour,27
certain,27
view,27
year,27
notice,27
decided,27
companion,27
late,27
ashamed,27
loved,27
conduct,27
advantage,27
happened,27
spirit,27
style,27
clever,27
fortunate,27
instead,27
pity,26
crown,26
plan,26
knowing,26
sight,26
sister,26
aware,26
regret,26
tried,26
mentioned,26
completely,26
mine,26
depend,26
favour,26
marrying,26
knowledge,26
taking,26
match,26
judge,26
tea,26
pray,26
friendship,26
consequence,26
martins,26
elegant,25
vain,25
sad,25
guess,25
odd,25
led,25
goddard,25
silent,25
lived,25
distance,25
attached,25
sake,25
especially,25
sensible,25
pay,25
extraordinary,25
to-day,25
quiet,25
behaviour,25
music,24
chuse,24
influence,24
beautiful,24
also,24
seems,24
consideration,24
entered,24
highly,24
gentleman,24
tone,24
write,24
comes,24
struck,24
hurry,24
event,24
justice,24
turning,24
generally,24
disposition,24
admiration,24
spite,24
abbey,24
table,24
four,23
service,23
altogether,23
quarter,23
note,23
observe,23
instrument,23
thinks,23
send,23
standing,23
fact,23
trying,23
scheme,23
hands,23
loss,23
box,23
town,23
purpose,23
favourite,23
plain,23
join,23
quick,23
written,23
horses,23
became,23
due,23
understood,23
proof,23
country,22
couple,22
age,22
try,22
moments,22
observed,22
kept,22
caught,22
gentlemen,22
enjoyment,22
blush,22
telling,22
pianoforte,22
mistaken,22
weeks,22
batess,22
claims,22
answered,22
wait,22
secret,22
presently,22
pleasing,22
rain,22
picture,22
hill,22
daughters,22
promise,22
summer,21
parties,21
information,21
likeness,21
inclination,21
charade,21
lately,21
safe,21
consciousness,21
dance,21
invitation,21
william,21
scarcely,21
lost,21
delight,21
approbation,21
suspect,21
henry,21
useful,21
spent,21
hopes,21
bath,21
intimacy,21
duty,21
stand,21
deserve,21
agreed,21
encouragement,21
ease,20
respectable,20
disagreeable,20
suspicion,20
imagined,20
complete,20
past,20
connexion,20
chance,20
reasonable,20
whatever,20
silence,20
nonsense,20
recommend,20
attempt,20
niece,20
considering,20
sudden,20
disappointed,20
smallest,20
fixed,20
otherwise,20
fault,20
disposed,20
expect,20
sweet,20
wishes,20
women,20
dearest,20
tired,19
fortnight,19
busy,19
recollect,19
offer,19
angry,19
hint,19
eager,19
makes,19
high,19
delay,19
move,19
work,19
happily,19
low,19
dreadful,19
sigh,19
forgotten,19
wrote,19
anxiety,19
form,19
paid,19
speech,19
road,19
important,19
unhappy,19
mention,19
calling,19
janes,19
passing,19
thoroughly,19
uncle,19
considered,19
worst,19
thrown,19
distress,19
lose,19
safely,19
listen,18
mans,18
single,18
play,18
thats,18
occurred,18
desirable,18
rational,18
concern,18
severe,18
close,18
friendly,18
effect,18
reflection,18
equally,18
credit,18
opportunity,18
living,18
behind,18
disappointment,18
spend,18
amused,18
lines,18
worthy,18
sisters,18
pride,18
charge,18
period,18
finding,18
arrived,18
joy,18
james,18
possibly,17
prevent,17
besides,17
joined,17
warmly,17
vicarage,17
considerable,17
miles,17
dislike,17
confidence,17
hawkins,17
command,17
indifferent,17
promised,17
trouble,17
live,17
remained,17
history,17
stopped,17
circle,17
during,17
run,17
smiled,17
