word,frequency
the,3166
of,2355
and,2300
to,2237
her,1562
a,1534
i,1285
in,1258
was,1107
it,1099
she,1097
not,972
you,918
that,798
be,795
for,723
had,703
as,683
with,662
but,588
he,543
is,526
his,525
at,513
have,488
so,473
by,472
catherine,428
on,409
they,382
very,379
could,364
all,347
my,346
no,345
which,331
were,312
would,309
from,292
this,290
been,287
him,281
what,266
an,263
do,251
or,245
their,238
such,230
are,227
them,225
will,220
me,216
your,212
there,209
only,208
am,205
if,205
miss,205
one,204
more,198
tilney,196
must,190
said,180
when,178
mrs,175
any,171
much,170
than,170
being,165
now,163
did,162
we,161
mr,160
well,159
how,157
never,157
some,152
should,149
time,148
know,148
before,145
herself,138
might,138
think,136
own,135
can,134
isabella,131
general,130
every,130
into,127
thorpe,126
morland,125
who,123
though,120
out,119
allen,116
after,116
good,116
about,115
other,114
say,113
nothing,112
without,111
most,110
go,109
then,107
young,104
first,103
too,103
little,102
brother,101
its,101
thought,100
however,99
sure,98
henry,98
great,97
friend,95
soon,93
has,92
room,92
up,91
away,90
indeed,90
day,90
like,90
again,89
made,89
here,88
see,88
dear,88
may,88
man,88
quite,87
always,87
upon,87
two,86
shall,85
bath,83
having,82
oh,78
ever,76
moment,76
even,75
long,75
last,73
heart,72
make,72
yes,71
way,70
seemed,69
just,69
cannot,68
eleanor,68
perhaps,68
world,67
anything,67
father,66
over,66
look,65
us,63
give,63
mind,62
family,61
morning,61
saw,60
half,60
yet,60
down,60
till,60
almost,60
off,59
another,59
enough,59
house,59
catherines,59
place,59
hope,58
home,58
felt,58
come,58
few,57
better,56
hour,56
something,56
wish,55
going,55
many,54
nor,54
himself,54
three,54
same,54
looked,54
james,52
where,51
passed,51
minutes,51
feelings,51
still,50
these,50
believe,50
while,49
friends,49
left,49
through,49
kind,49
walk,49
acquaintance,48
our,48
people,47
take,47
pleasure,47
really,46
part,46
back,46
each,46
everything,46
happy,45
sister,45
read,45
thing,45
tilneys,45
rest,44
found,44
evening,44
short,44
whom,44
life,43
love,43
door,43
once,43
together,42
new,42
eyes,42
least,42
street,42
came,41
within,40
tell,40
suppose,40
get,40
between,39
went,39
done,39
far,39
rather,39
men,38
set,38
spirits,38
heard,38
why,38
letter,37
whole,37
next,37
less,37
does,37
told,37
john,37
often,37
either,37
mother,37
longer,37
ten,37
happiness,37
therefore,36
speak,36
certainly,36
directly,36
side,36
hardly,36
abbey,36
present,36
let,35
lady,35
able,35
seen,35
subject,35
those,35
gone,34
hours,34
dance,34
since,34
immediately,34
northanger,34
woman,34
thorpes,34
old,33
knew,33
put,33
towards,33
began,33
allens,33
return,33
hand,32
means,32
agreeable,32
neither,32
point,32
end,32
took,32
chapter,32
glad,32
whether,32
possible,31
daughter,31
party,31
entered,31
eye,31
account,31
head,31
given,31
things,30
walked,30
pretty,30
scarcely,30
seeing,30
understand,30
themselves,30
words,30
leave,29
open,29
dare,29
opinion,29
rooms,29
brothers,29
morlands,29
exactly,29
whose,29
comfort,29
feel,29
because,29
looking,28
engagement,28
doubt,28
poor,28
entirely,28
beyond,28
five,28
captain,28
met,28
fine,28
fullerton,28
attention,28
cried,28
four,27
nature,27
years,27
turned,27
else,27
sorry,27
against,27
round,27
girl,27
obliged,27
others,27
already,27
myself,27
ladies,27
known,27
expect,27
country,26
right,26
gentleman,26
different,26
days,26
henrys,26
called,26
brought,25
mean,25
returned,25
replied,25
isabellas,25
delightful,25
notice,25
real,25
fathers,25
carriage,25
idea,25
partner,25
got,25
hear,25
view,25
drive,24
handsome,24
received,24
horse,24
both,24
generals,24
affection,24
find,24
common,24
appearance,24
gave,24
name,24
anybody,24
best,23
ease,23
large,23
creature,23
pump-room,23
manner,23
charming,23
perfectly,23
appeared,23
interest,23
deal,23
wonder,23
coming,23
under,23
expected,23
conversation,23
want,22
object,22
son,22
engaged,22
power,22
surprise,22
sometimes,22
continued,22
yourself,22
impossible,22
