token_	Corpus	Observations	p_value	Obs/Exp
four	early	99	0.0338506164207	1.33783783784
therefore	early	204	0.00284648474341	1.35099337748
want	late	222	0.0370736718781	1.2
barton	early	89	5.81536706193e-06	2.28205128205
assured	early	65	0.0347705878737	1.44444444444
engagement	early	111	0.0121185966488	1.40506329114
derbyshire	early	24	0.0204770534237	2.18181818182
allenham	early	18	0.0377563913635	2.25
mariannes	early	74	4.58490762264e-05	2.24242424242
best	late	227	0.00732436286968	1.28248587571
thomass	late	41	0.016379446154	1.78260869565
lucas	early	65	0.000130707362745	2.24137931034
phillips	early	27	0.0118492426444	2.25
had	late	4458	4.98541820544e-05	1.08758233716
right	late	230	0.0117262485184	1.25683060109
old	late	187	0.0414490322643	1.21428571429
pump-room	early	23	0.017538684562	2.3
address	early	53	0.0199201532659	1.60606060606
tilney	early	196	2.41998601046e-11	2.27906976744
devonshire	early	26	0.0100351503167	2.36363636364
instantly	early	80	0.0240794381387	1.42857142857
quite	late	595	0.000562020189895	1.22176591376
saw	early	277	0.0283476707435	1.18884120172
wanting	late	72	0.0354401085755	1.41176470588
charlottes	early	21	0.0213845589862	2.33333333333
thousand	early	95	0.00231628664507	1.61016949153
isabella	early	131	0.000629289953915	1.57831325301
edwards	early	43	0.00257511376356	2.15
being	late	942	0.000725923333697	1.16584158416
world	early	226	0.0145039569464	1.24861878453
wickhams	early	32	0.00567434159191	2.28571428571
her	early	6330	6.16643962875e-07	1.09137931034
ferrarss	early	16	0.0465668907628	2.28571428571
certain	early	99	0.0190190293233	1.39436619718
bourgh	early	35	0.00329918155418	2.33333333333
regiment	early	22	0.0250483794724	2.2
replied	early	230	0.00185528892102	1.34502923977
rosings	early	49	0.000909676243783	2.22727272727
stairs	early	41	0.0231711965721	1.70833333333
marriage	early	121	0.0379520491109	1.28723404255
play	late	101	0.0245153925157	1.36486486486
morland	early	125	9.55709279165e-08	2.27272727273
willoughby	early	181	1.81605123027e-10	2.2625
connection	early	49	0.0023119906314	2.04166666667
surprised	early	77	0.00790395495865	1.57142857143
be	late	4833	0.0027092153603	1.05893952673
by	early	1852	2.18704421042e-07	1.18946692357
middleton	early	87	6.91837988954e-06	2.28947368421
likewise	early	50	0.00842321815152	1.78571428571
sides	early	18	0.0377563913635	2.25
louisa	late	100	0.000716460298902	1.69491525424
continued	early	129	0.031994099718	1.29
this	early	1174	0.0318011083768	1.08202764977
procured	early	20	0.04936462371	2.0
could	late	2149	0.0243104684064	1.06333498268
length	early	60	0.00921230087919	1.66666666667
painful	early	48	0.0464457082044	1.5
false	early	23	0.0447611592794	1.91666666667
bingleys	early	54	0.000450180577097	2.25
gardiners	early	19	0.0261170284465	2.375
madam	early	43	0.0479525843425	1.53571428571
fannys	late	109	0.000386299172214	1.703125
poor	late	287	0.0160769361812	1.21097046414
sister	early	442	1.22808463149e-06	1.41666666667
catherine	early	538	7.24266617445e-28	2.26050420168
edward	early	221	3.71824517849e-12	2.23232323232
daughter	early	145	0.00299594168302	1.43564356436
marianne	early	492	9.02647999796e-26	2.26728110599
udolpho	early	18	0.0377563913635	2.25
bennets	early	39	0.00227989302453	2.29411764706
after	early	518	0.00287750918815	1.19907407407
then	early	436	0.00900229571587	1.1847826087
them	early	1128	0.000843491216621	1.1475076297
they	early	1502	0.000341434038436	1.13701741105
gardiner	early	84	1.15619407891e-05	2.27027027027
john	early	187	0.000209822723991	1.50806451613
latter	early	60	0.00668592721023	1.71428571429
notion	early	29	0.0362221147793	1.8125
do	late	1396	0.027974669532	1.07716049383
de	early	39	0.00375277078547	2.16666666667
dr	late	69	0.00485863112981	1.68292682927
darcys	early	44	0.00111321536954	2.31578947368
jenningss	early	36	0.00389248399303	2.25
dance	early	79	0.0289337106828	1.41071428571
elinors	early	62	0.000132664059797	2.2962962963
lizzy	early	94	2.92777298732e-06	2.29268292683
willoughbys	early	38	0.00322677271433	2.23529411765
heart	early	244	0.040451281653	1.18446601942
nor	early	215	0.0107460173007	1.27218934911
servant	early	49	0.0485047285186	1.48484848485
tomorrow	early	30	0.0113121147891	2.14285714286
that	early	3758	0.019393230272	1.04942753421
price	late	108	0.000492261389065	1.6875
ferrars	early	114	3.15557978792e-07	2.28
concern	early	70	0.0263632470435	1.45833333333
informed	early	29	0.0362221147793	1.8125
thinking	late	138	0.0430915661838	1.25454545455
pounds	early	73	0.00122682670996	1.825
greatly	early	42	0.0455845081337	1.55555555556
your	early	1053	8.40298861812e-06	1.21875
cottage	early	67	0.0233579173149	1.48888888889
trying	late	84	0.011071721058	1.5
elizabeths	early	38	0.0181672976276	1.80952380952
very	late	2402	4.86832453809e-06	1.14109263658
family	early	296	0.0400983717449	1.16535433071
a	late	7813	0.00229559289421	1.04661754856
dashwood	early	231	5.98753675807e-13	2.26470588235
mr	late	1892	0.000277316777499	1.12284866469
miss	late	1161	0.00488587128533	1.11742059673
officers	early	31	0.0199893933614	1.9375
norland	early	53	0.000382018779278	2.30434782609
forster	early	38	0.00322677271433	2.23529411765
charlotte	early	89	5.81536706193e-06	2.28205128205
steele	early	38	0.00322677271433	2.23529411765
useful	late	70	0.0161298319337	1.52173913043
silence	early	83	0.0481780911395	1.33870967742
william	late	149	0.00621332623949	1.37962962963
colonel	early	230	5.38770592862e-08	1.78294573643
collins	early	156	3.20158003289e-09	2.26086956522
morlands	early	29	0.00975825719702	2.23076923077
shewed	late	37	0.0462244480633	1.60869565217
relations	early	41	0.0432103716499	1.57692307692
gallery	early	20	0.04936462371	2.0
affair	early	54	0.0027164840306	1.92857142857
neither	early	116	0.0475006965326	1.27472527473
frequently	early	41	0.0231711965721	1.70833333333
scarcely	early	100	0.0489415719257	1.2987012987
ought	late	242	0.00926726211893	1.26041666667
library	early	28	0.0217758302885	2.0
